                       	strtok
Length  162/27, alignment 15/ 9, found:	335.312
Length  162/27, alignment 15/ 9, fail:	341.632
Length  162/27, alignment 15/15, found:	344.407
Length  162/27, alignment 15/15, fail:	338.834
Length  189/27, alignment  0/ 0, found:	374.453
Length  189/27, alignment  0/ 0, fail:	378.364
Length  189/27, alignment  0/ 3, found:	368.061
Length  189/27, alignment  0/ 3, fail:	377.371
Length  189/27, alignment  0/ 9, found:	367.621
Length  189/27, alignment  0/ 9, fail:	381.125
Length  189/27, alignment  0/15, found:	366.677
Length  189/27, alignment  0/15, fail:	373.343
Length  189/27, alignment  3/ 0, found:	377.534
Length  189/27, alignment  3/ 0, fail:	368.789
Length  189/27, alignment  3/ 3, found:	375.271
Length  189/27, alignment  3/ 3, fail:	376.854
Length  189/27, alignment  3/ 9, found:	367.359
Length  189/27, alignment  3/ 9, fail:	374.37
Length  189/27, alignment  3/15, found:	377.739
Length  189/27, alignment  3/15, fail:	367.23
Length  189/27, alignment  9/ 0, found:	373.722
Length  189/27, alignment  9/ 0, fail:	378.703
Length  189/27, alignment  9/ 3, found:	372.193
Length  189/27, alignment  9/ 3, fail:	377.839
Length  189/27, alignment  9/ 9, found:	386.01
Length  189/27, alignment  9/ 9, fail:	380.41
Length  189/27, alignment  9/15, found:	365.427
Length  189/27, alignment  9/15, fail:	376.589
Length  189/27, alignment 15/ 0, found:	372.443
Length  189/27, alignment 15/ 0, fail:	365.633
Length  189/27, alignment 15/ 3, found:	375.984
Length  189/27, alignment 15/ 3, fail:	373.347
Length  189/27, alignment 15/ 9, found:	363.838
Length  189/27, alignment 15/ 9, fail:	371.774
Length  189/27, alignment 15/15, found:	395.261
Length  189/27, alignment 15/15, fail:	367.171
Length  216/27, alignment  0/ 0, found:	403.932
Length  216/27, alignment  0/ 0, fail:	411.665
Length  216/27, alignment  0/ 3, found:	392.704
Length  216/27, alignment  0/ 3, fail:	400.663
Length  216/27, alignment  0/ 9, found:	401.165
Length  216/27, alignment  0/ 9, fail:	391.559
Length  216/27, alignment  0/15, found:	399.623
Length  216/27, alignment  0/15, fail:	400.836
Length  216/27, alignment  3/ 0, found:	393.593
Length  216/27, alignment  3/ 0, fail:	401.792
Length  216/27, alignment  3/ 3, found:	399.721
Length  216/27, alignment  3/ 3, fail:	393.203
Length  216/27, alignment  3/ 9, found:	399.052
Length  216/27, alignment  3/ 9, fail:	400.963
Length  216/27, alignment  3/15, found:	392.646
Length  216/27, alignment  3/15, fail:	399.223
Length  216/27, alignment  9/ 0, found:	400.847
Length  216/27, alignment  9/ 0, fail:	397.816
Length  216/27, alignment  9/ 3, found:	397.431
Length  216/27, alignment  9/ 3, fail:	399.578
Length  216/27, alignment  9/ 9, found:	392.669
Length  216/27, alignment  9/ 9, fail:	401.525
Length  216/27, alignment  9/15, found:	399.984
Length  216/27, alignment  9/15, fail:	392.097
Length  216/27, alignment 15/ 0, found:	405.699
Length  216/27, alignment 15/ 0, fail:	404.165
Length  216/27, alignment 15/ 3, found:	391.764
Length  216/27, alignment 15/ 3, fail:	399.87
Length  216/27, alignment 15/ 9, found:	401.808
Length  216/27, alignment 15/ 9, fail:	395.606
Length  216/27, alignment 15/15, found:	401.279
Length  216/27, alignment 15/15, fail:	416.283
Length  243/27, alignment  0/ 0, found:	423.655
Length  243/27, alignment  0/ 0, fail:	428.162
Length  243/27, alignment  0/ 3, found:	432.043
Length  243/27, alignment  0/ 3, fail:	416.934
Length  243/27, alignment  0/ 9, found:	425.19
Length  243/27, alignment  0/ 9, fail:	423.488
Length  243/27, alignment  0/15, found:	418.522
Length  243/27, alignment  0/15, fail:	446.325
Length  243/27, alignment  3/ 0, found:	487.084
Length  243/27, alignment  3/ 0, fail:	488.721
Length  243/27, alignment  3/ 3, found:	440.737
Length  243/27, alignment  3/ 3, fail:	426.916
Length  243/27, alignment  3/ 9, found:	466.46
Length  243/27, alignment  3/ 9, fail:	449.533
Length  243/27, alignment  3/15, found:	431.975
Length  243/27, alignment  3/15, fail:	458.12
Length  243/27, alignment  9/ 0, found:	415.155
Length  243/27, alignment  9/ 0, fail:	439.188
Length  243/27, alignment  9/ 3, found:	426.168
Length  243/27, alignment  9/ 3, fail:	417.798
Length  243/27, alignment  9/ 9, found:	422.73
Length  243/27, alignment  9/ 9, fail:	423.695
Length  243/27, alignment  9/15, found:	415.436
Length  243/27, alignment  9/15, fail:	441.682
Length  243/27, alignment 15/ 0, found:	424.805
Length  243/27, alignment 15/ 0, fail:	418.513
Length  243/27, alignment 15/ 3, found:	422.932
Length  243/27, alignment 15/ 3, fail:	423.247
Length  243/27, alignment 15/ 9, found:	426.067
Length  243/27, alignment 15/ 9, fail:	422.904
Length  243/27, alignment 15/15, found:	420.179
Length  243/27, alignment 15/15, fail:	423.108
Length  270/27, alignment  0/ 0, found:	454.762
Length  270/27, alignment  0/ 0, fail:	445.011
Length  270/27, alignment  0/ 3, found:	454
Length  270/27, alignment  0/ 3, fail:	455.478
Length  270/27, alignment  0/ 9, found:	446.957
Length  270/27, alignment  0/ 9, fail:	482.803
Length  270/27, alignment  0/15, found:	445.618
Length  270/27, alignment  0/15, fail:	457.804
Length  270/27, alignment  3/ 0, found:	453.959
Length  270/27, alignment  3/ 0, fail:	465.635
Length  270/27, alignment  3/ 3, found:	457.762
Length  270/27, alignment  3/ 3, fail:	459.346
Length  270/27, alignment  3/ 9, found:	454.746
Length  270/27, alignment  3/ 9, fail:	456.158
Length  270/27, alignment  3/15, found:	447.261
Length  270/27, alignment  3/15, fail:	453.709
Length  270/27, alignment  9/ 0, found:	451.736
Length  270/27, alignment  9/ 0, fail:	444.906
Length  270/27, alignment  9/ 3, found:	472.679
Length  270/27, alignment  9/ 3, fail:	457.347
Length  270/27, alignment  9/ 9, found:	610.397
Length  270/27, alignment  9/ 9, fail:	658.385
Length  270/27, alignment  9/15, found:	461.22
Length  270/27, alignment  9/15, fail:	484.955
Length  270/27, alignment 15/ 0, found:	449.435
Length  270/27, alignment 15/ 0, fail:	511.365
Length  270/27, alignment 15/ 3, found:	443.491
Length  270/27, alignment 15/ 3, fail:	454.43
Length  270/27, alignment 15/ 9, found:	455.466
Length  270/27, alignment 15/ 9, fail:	444.23
Length  270/27, alignment 15/15, found:	468.199
Length  270/27, alignment 15/15, fail:	454.658
Length  297/27, alignment  0/ 0, found:	491.274
Length  297/27, alignment  0/ 0, fail:	486.297
Length  297/27, alignment  0/ 3, found:	473.762
Length  297/27, alignment  0/ 3, fail:	486.34
Length  297/27, alignment  0/ 9, found:	482.228
Length  297/27, alignment  0/ 9, fail:	483.555
Length  297/27, alignment  0/15, found:	485.14
Length  297/27, alignment  0/15, fail:	476.535
Length  297/27, alignment  3/ 0, found:	481.938
Length  297/27, alignment  3/ 0, fail:	485.394
Length  297/27, alignment  3/ 3, found:	482.958
Length  297/27, alignment  3/ 3, fail:	485.047
Length  297/27, alignment  3/ 9, found:	474.62
Length  297/27, alignment  3/ 9, fail:	481.257
Length  297/27, alignment  3/15, found:	487.481
Length  297/27, alignment  3/15, fail:	509.59
Length  297/27, alignment  9/ 0, found:	490.892
Length  297/27, alignment  9/ 0, fail:	474.632
Length  297/27, alignment  9/ 3, found:	480.278
Length  297/27, alignment  9/ 3, fail:	472.361
Length  297/27, alignment  9/ 9, found:	478.867
Length  297/27, alignment  9/ 9, fail:	481.979
Length  297/27, alignment  9/15, found:	473.29
Length  297/27, alignment  9/15, fail:	477.809
Length  297/27, alignment 15/ 0, found:	479.699
Length  297/27, alignment 15/ 0, fail:	480.381
Length  297/27, alignment 15/ 3, found:	485.17
Length  297/27, alignment 15/ 3, fail:	474.144
Length  297/27, alignment 15/ 9, found:	498.116
Length  297/27, alignment 15/ 9, fail:	503.255
Length  297/27, alignment 15/15, found:	571.395
Length  297/27, alignment 15/15, fail:	494.562
Length  324/27, alignment  0/ 0, found:	532.837
Length  324/27, alignment  0/ 0, fail:	531.424
Length  324/27, alignment  0/ 3, found:	522.107
Length  324/27, alignment  0/ 3, fail:	510.647
Length  324/27, alignment  0/ 9, found:	497.293
Length  324/27, alignment  0/ 9, fail:	513.686
Length  324/27, alignment  0/15, found:	511.99
Length  324/27, alignment  0/15, fail:	510.012
Length  324/27, alignment  3/ 0, found:	509.667
Length  324/27, alignment  3/ 0, fail:	528.455
Length  324/27, alignment  3/ 3, found:	510.229
Length  324/27, alignment  3/ 3, fail:	501.066
Length  324/27, alignment  3/ 9, found:	507.367
Length  324/27, alignment  3/ 9, fail:	509.551
Length  324/27, alignment  3/15, found:	506.761
Length  324/27, alignment  3/15, fail:	508.877
Length  324/27, alignment  9/ 0, found:	504.33
Length  324/27, alignment  9/ 0, fail:	513.844
Length  324/27, alignment  9/ 3, found:	501.133
Length  324/27, alignment  9/ 3, fail:	505.813
Length  324/27, alignment  9/ 9, found:	509.037
Length  324/27, alignment  9/ 9, fail:	508.454
Length  324/27, alignment  9/15, found:	511.06
Length  324/27, alignment  9/15, fail:	501.359
Length  324/27, alignment 15/ 0, found:	507.064
Length  324/27, alignment 15/ 0, fail:	507.525
Length  324/27, alignment 15/ 3, found:	505.829
Length  324/27, alignment 15/ 3, fail:	508.942
Length  324/27, alignment 15/ 9, found:	507.172
Length  324/27, alignment 15/ 9, fail:	509.569
Length  324/27, alignment 15/15, found:	505.816
Length  324/27, alignment 15/15, fail:	506.162
Length  351/27, alignment  0/ 0, found:	532.125
Length  351/27, alignment  0/ 0, fail:	530.646
Length  351/27, alignment  0/ 3, found:	532.391
Length  351/27, alignment  0/ 3, fail:	536.017
Length  351/27, alignment  0/ 9, found:	561.421
Length  351/27, alignment  0/ 9, fail:	523.224
Length  351/27, alignment  0/15, found:	546.458
Length  351/27, alignment  0/15, fail:	522.109
Length  351/27, alignment  3/ 0, found:	532.816
Length  351/27, alignment  3/ 0, fail:	532.31
Length  351/27, alignment  3/ 3, found:	532.926
Length  351/27, alignment  3/ 3, fail:	531.791
Length  351/27, alignment  3/ 9, found:	531.703
Length  351/27, alignment  3/ 9, fail:	531.981
Length  351/27, alignment  3/15, found:	523.652
Length  351/27, alignment  3/15, fail:	542.319
Length  351/27, alignment  9/ 0, found:	522.321
Length  351/27, alignment  9/ 0, fail:	531.486
Length  351/27, alignment  9/ 3, found:	533.847
Length  351/27, alignment  9/ 3, fail:	531.035
Length  351/27, alignment  9/ 9, found:	532.638
Length  351/27, alignment  9/ 9, fail:	528.429
Length  351/27, alignment  9/15, found:	533.363
Length  351/27, alignment  9/15, fail:	525.567
Length  351/27, alignment 15/ 0, found:	552.741
Length  351/27, alignment 15/ 0, fail:	525.637
Length  351/27, alignment 15/ 3, found:	535.835
Length  351/27, alignment 15/ 3, fail:	535.526
Length  351/27, alignment 15/ 9, found:	535.389
Length  351/27, alignment 15/ 9, fail:	592.592
Length  351/27, alignment 15/15, found:	569.151
Length  351/27, alignment 15/15, fail:	741.346
Length  378/27, alignment  0/ 0, found:	590.05
Length  378/27, alignment  0/ 0, fail:	582.003
Length  378/27, alignment  0/ 3, found:	591.082
Length  378/27, alignment  0/ 3, fail:	577.387
Length  378/27, alignment  0/ 9, found:	583.549
Length  378/27, alignment  0/ 9, fail:	579.048
Length  378/27, alignment  0/15, found:	584
Length  378/27, alignment  0/15, fail:	599.122
Length  378/27, alignment  3/ 0, found:	585.834
Length  378/27, alignment  3/ 0, fail:	578.044
Length  378/27, alignment  3/ 3, found:	586.805
Length  378/27, alignment  3/ 3, fail:	577.006
Length  378/27, alignment  3/ 9, found:	580.62
Length  378/27, alignment  3/ 9, fail:	577.896
Length  378/27, alignment  3/15, found:	578.883
Length  378/27, alignment  3/15, fail:	598.648
Length  378/27, alignment  9/ 0, found:	587.284
Length  378/27, alignment  9/ 0, fail:	585.113
Length  378/27, alignment  9/ 3, found:	576.297
Length  378/27, alignment  9/ 3, fail:	575.156
Length  378/27, alignment  9/ 9, found:	567.685
Length  378/27, alignment  9/ 9, fail:	590.431
Length  378/27, alignment  9/15, found:	565.23
Length  378/27, alignment  9/15, fail:	584.337
Length  378/27, alignment 15/ 0, found:	570.959
Length  378/27, alignment 15/ 0, fail:	579.377
Length  378/27, alignment 15/ 3, found:	570.303
Length  378/27, alignment 15/ 3, fail:	570.962
Length  378/27, alignment 15/ 9, found:	574.524
Length  378/27, alignment 15/ 9, fail:	573.482
Length  378/27, alignment 15/15, found:	577.752
Length  378/27, alignment 15/15, fail:	570.752
Length  405/27, alignment  0/ 0, found:	622.763
Length  405/27, alignment  0/ 0, fail:	624.098
Length  405/27, alignment  0/ 3, found:	623.955
Length  405/27, alignment  0/ 3, fail:	618
Length  405/27, alignment  0/ 9, found:	623.33
Length  405/27, alignment  0/ 9, fail:	611.293
Length  405/27, alignment  0/15, found:	619.37
Length  405/27, alignment  0/15, fail:	610.713
Length  405/27, alignment  3/ 0, found:	623.736
Length  405/27, alignment  3/ 0, fail:	620.854
Length  405/27, alignment  3/ 3, found:	633.638
Length  405/27, alignment  3/ 3, fail:	764.132
Length  405/27, alignment  3/ 9, found:	630.956
Length  405/27, alignment  3/ 9, fail:	635.414
Length  405/27, alignment  3/15, found:	634.169
Length  405/27, alignment  3/15, fail:	629.242
Length  405/27, alignment  9/ 0, found:	622.587
Length  405/27, alignment  9/ 0, fail:	619.069
Length  405/27, alignment  9/ 3, found:	623.706
Length  405/27, alignment  9/ 3, fail:	614.293
Length  405/27, alignment  9/ 9, found:	628.704
Length  405/27, alignment  9/ 9, fail:	620.067
Length  405/27, alignment  9/15, found:	629.562
Length  405/27, alignment  9/15, fail:	625.543
Length  405/27, alignment 15/ 0, found:	625.354
Length  405/27, alignment 15/ 0, fail:	631.282
Length  405/27, alignment 15/ 3, found:	632.862
Length  405/27, alignment 15/ 3, fail:	595.567
Length  405/27, alignment 15/ 9, found:	634.905
Length  405/27, alignment 15/ 9, fail:	601.707
Length  405/27, alignment 15/15, found:	625.188
Length  405/27, alignment 15/15, fail:	599.692
Length   56/28, alignment  0/ 0, found:	240.132
Length   56/28, alignment  0/ 0, fail:	232.525
Length   56/28, alignment  0/ 3, found:	237.68
Length   56/28, alignment  0/ 3, fail:	231.53
Length   56/28, alignment  0/ 9, found:	226.83
Length   56/28, alignment  0/ 9, fail:	240.948
Length   56/28, alignment  0/15, found:	229.629
Length   56/28, alignment  0/15, fail:	240.468
Length   56/28, alignment  3/ 0, found:	230.117
Length   56/28, alignment  3/ 0, fail:	231.436
Length   56/28, alignment  3/ 3, found:	239.153
Length   56/28, alignment  3/ 3, fail:	230.558
Length   56/28, alignment  3/ 9, found:	238.469
Length   56/28, alignment  3/ 9, fail:	230.693
Length   56/28, alignment  3/15, found:	230.944
Length   56/28, alignment  3/15, fail:	240.627
Length   56/28, alignment  9/ 0, found:	233.084
Length   56/28, alignment  9/ 0, fail:	239.47
Length   56/28, alignment  9/ 3, found:	228.733
Length   56/28, alignment  9/ 3, fail:	230.892
Length   56/28, alignment  9/ 9, found:	237.79
Length   56/28, alignment  9/ 9, fail:	230.572
Length   56/28, alignment  9/15, found:	236.601
Length   56/28, alignment  9/15, fail:	233.336
Length   56/28, alignment 15/ 0, found:	246.636
Length   56/28, alignment 15/ 0, fail:	241.945
Length   56/28, alignment 15/ 3, found:	229.426
Length   56/28, alignment 15/ 3, fail:	242.897
Length   56/28, alignment 15/ 9, found:	229.398
Length   56/28, alignment 15/ 9, fail:	231.069
Length   56/28, alignment 15/15, found:	235.967
Length   56/28, alignment 15/15, fail:	230.026
Length   84/28, alignment  0/ 0, found:	265.736
Length   84/28, alignment  0/ 0, fail:	258.645
Length   84/28, alignment  0/ 3, found:	255.524
Length   84/28, alignment  0/ 3, fail:	266.437
Length   84/28, alignment  0/ 9, found:	257.415
Length   84/28, alignment  0/ 9, fail:	266.406
Length   84/28, alignment  0/15, found:	262.037
Length   84/28, alignment  0/15, fail:	265.257
Length   84/28, alignment  3/ 0, found:	256.648
Length   84/28, alignment  3/ 0, fail:	267.85
Length   84/28, alignment  3/ 3, found:	257.228
Length   84/28, alignment  3/ 3, fail:	258.298
Length   84/28, alignment  3/ 9, found:	264.215
Length   84/28, alignment  3/ 9, fail:	259.125
Length   84/28, alignment  3/15, found:	264.332
Length   84/28, alignment  3/15, fail:	259.28
Length   84/28, alignment  9/ 0, found:	256.88
Length   84/28, alignment  9/ 0, fail:	268.492
Length   84/28, alignment  9/ 3, found:	265.799
Length   84/28, alignment  9/ 3, fail:	260.05
Length   84/28, alignment  9/ 9, found:	257.44
Length   84/28, alignment  9/ 9, fail:	265.823
Length   84/28, alignment  9/15, found:	257.593
Length   84/28, alignment  9/15, fail:	266.156
Length   84/28, alignment 15/ 0, found:	257.042
Length   84/28, alignment 15/ 0, fail:	259.194
Length   84/28, alignment 15/ 3, found:	263.076
Length   84/28, alignment 15/ 3, fail:	266.562
Length   84/28, alignment 15/ 9, found:	257.764
Length   84/28, alignment 15/ 9, fail:	259.433
Length   84/28, alignment 15/15, found:	264.742
Length   84/28, alignment 15/15, fail:	260.16
Length  112/28, alignment  0/ 0, found:	294.39
Length  112/28, alignment  0/ 0, fail:	286.593
Length  112/28, alignment  0/ 3, found:	293.851
Length  112/28, alignment  0/ 3, fail:	287.143
Length  112/28, alignment  0/ 9, found:	294.611
Length  112/28, alignment  0/ 9, fail:	288.794
Length  112/28, alignment  0/15, found:	286.971
Length  112/28, alignment  0/15, fail:	313.361
Length  112/28, alignment  3/ 0, found:	300.764
Length  112/28, alignment  3/ 0, fail:	286.077
Length  112/28, alignment  3/ 3, found:	287.313
Length  112/28, alignment  3/ 3, fail:	298.151
Length  112/28, alignment  3/ 9, found:	293.766
Length  112/28, alignment  3/ 9, fail:	284.623
Length  112/28, alignment  3/15, found:	284.615
Length  112/28, alignment  3/15, fail:	292.324
Length  112/28, alignment  9/ 0, found:	293.565
Length  112/28, alignment  9/ 0, fail:	287.429
Length  112/28, alignment  9/ 3, found:	285.338
Length  112/28, alignment  9/ 3, fail:	292.486
Length  112/28, alignment  9/ 9, found:	293.023
Length  112/28, alignment  9/ 9, fail:	286.248
Length  112/28, alignment  9/15, found:	284.378
Length  112/28, alignment  9/15, fail:	292.988
Length  112/28, alignment 15/ 0, found:	291.753
Length  112/28, alignment 15/ 0, fail:	286.372
Length  112/28, alignment 15/ 3, found:	285.69
Length  112/28, alignment 15/ 3, fail:	292.003
Length  112/28, alignment 15/ 9, found:	288.493
Length  112/28, alignment 15/ 9, fail:	294.806
Length  112/28, alignment 15/15, found:	286.901
Length  112/28, alignment 15/15, fail:	297.052
Length  140/28, alignment  0/ 0, found:	315.435
Length  140/28, alignment  0/ 0, fail:	315.415
Length  140/28, alignment  0/ 3, found:	329.15
Length  140/28, alignment  0/ 3, fail:	324.763
Length  140/28, alignment  0/ 9, found:	324.408
Length  140/28, alignment  0/ 9, fail:	315.499
Length  140/28, alignment  0/15, found:	315.919
Length  140/28, alignment  0/15, fail:	322.354
Length  140/28, alignment  3/ 0, found:	323.954
Length  140/28, alignment  3/ 0, fail:	316.124
Length  140/28, alignment  3/ 3, found:	322.026
Length  140/28, alignment  3/ 3, fail:	314.498
Length  140/28, alignment  3/ 9, found:	322.576
Length  140/28, alignment  3/ 9, fail:	316.593
Length  140/28, alignment  3/15, found:	321.769
Length  140/28, alignment  3/15, fail:	324.683
Length  140/28, alignment  9/ 0, found:	332.092
Length  140/28, alignment  9/ 0, fail:	315.038
Length  140/28, alignment  9/ 3, found:	328.243
Length  140/28, alignment  9/ 3, fail:	327.395
Length  140/28, alignment  9/ 9, found:	315.2
Length  140/28, alignment  9/ 9, fail:	323.604
Length  140/28, alignment  9/15, found:	315.277
Length  140/28, alignment  9/15, fail:	323.022
Length  140/28, alignment 15/ 0, found:	316.517
Length  140/28, alignment 15/ 0, fail:	321.093
Length  140/28, alignment 15/ 3, found:	315.26
Length  140/28, alignment 15/ 3, fail:	322.027
Length  140/28, alignment 15/ 9, found:	316.291
Length  140/28, alignment 15/ 9, fail:	320.323
Length  140/28, alignment 15/15, found:	328.065
Length  140/28, alignment 15/15, fail:	316.391
Length  168/28, alignment  0/ 0, found:	341.653
Length  168/28, alignment  0/ 0, fail:	351.382
Length  168/28, alignment  0/ 3, found:	354.952
Length  168/28, alignment  0/ 3, fail:	343.293
Length  168/28, alignment  0/ 9, found:	353.104
Length  168/28, alignment  0/ 9, fail:	353.202
Length  168/28, alignment  0/15, found:	345.054
Length  168/28, alignment  0/15, fail:	350.865
Length  168/28, alignment  3/ 0, found:	344.265
Length  168/28, alignment  3/ 0, fail:	351.922
Length  168/28, alignment  3/ 3, found:	344.732
Length  168/28, alignment  3/ 3, fail:	351.481
Length  168/28, alignment  3/ 9, found:	358.174
Length  168/28, alignment  3/ 9, fail:	343.674
Length  168/28, alignment  3/15, found:	347.149
Length  168/28, alignment  3/15, fail:	343.558
Length  168/28, alignment  9/ 0, found:	348.541
Length  168/28, alignment  9/ 0, fail:	344.524
Length  168/28, alignment  9/ 3, found:	351.644
Length  168/28, alignment  9/ 3, fail:	352.149
Length  168/28, alignment  9/ 9, found:	342.021
Length  168/28, alignment  9/ 9, fail:	350.546
Length  168/28, alignment  9/15, found:	351.103
Length  168/28, alignment  9/15, fail:	343.595
Length  168/28, alignment 15/ 0, found:	350.245
Length  168/28, alignment 15/ 0, fail:	351.791
Length  168/28, alignment 15/ 3, found:	356.53
Length  168/28, alignment 15/ 3, fail:	342.51
Length  168/28, alignment 15/ 9, found:	371.05
Length  168/28, alignment 15/ 9, fail:	390.098
Length  168/28, alignment 15/15, found:	413.142
Length  168/28, alignment 15/15, fail:	361.817
Length  196/28, alignment  0/ 0, found:	416.649
Length  196/28, alignment  0/ 0, fail:	378.48
Length  196/28, alignment  0/ 3, found:	482.223
Length  196/28, alignment  0/ 3, fail:	410.716
Length  196/28, alignment  0/ 9, found:	371.939
Length  196/28, alignment  0/ 9, fail:	389.83
Length  196/28, alignment  0/15, found:	381.094
Length  196/28, alignment  0/15, fail:	373.201
Length  196/28, alignment  3/ 0, found:	387.443
Length  196/28, alignment  3/ 0, fail:	383
Length  196/28, alignment  3/ 3, found:	372.084
Length  196/28, alignment  3/ 3, fail:	401.27
Length  196/28, alignment  3/ 9, found:	381.488
Length  196/28, alignment  3/ 9, fail:	372.574
Length  196/28, alignment  3/15, found:	389.251
Length  196/28, alignment  3/15, fail:	382.422
Length  196/28, alignment  9/ 0, found:	371.634
Length  196/28, alignment  9/ 0, fail:	380.843
Length  196/28, alignment  9/ 3, found:	380.206
Length  196/28, alignment  9/ 3, fail:	373.393
Length  196/28, alignment  9/ 9, found:	372.362
Length  196/28, alignment  9/ 9, fail:	375.156
Length  196/28, alignment  9/15, found:	383.501
Length  196/28, alignment  9/15, fail:	372.157
Length  196/28, alignment 15/ 0, found:	381.415
Length  196/28, alignment 15/ 0, fail:	381.817
Length  196/28, alignment 15/ 3, found:	372.549
Length  196/28, alignment 15/ 3, fail:	388.046
Length  196/28, alignment 15/ 9, found:	381.676
Length  196/28, alignment 15/ 9, fail:	374.432
Length  196/28, alignment 15/15, found:	390.108
Length  196/28, alignment 15/15, fail:	383.655
Length  224/28, alignment  0/ 0, found:	400.365
Length  224/28, alignment  0/ 0, fail:	408.317
Length  224/28, alignment  0/ 3, found:	410.82
Length  224/28, alignment  0/ 3, fail:	401.041
Length  224/28, alignment  0/ 9, found:	413.423
Length  224/28, alignment  0/ 9, fail:	411.285
Length  224/28, alignment  0/15, found:	401.177
Length  224/28, alignment  0/15, fail:	413.069
Length  224/28, alignment  3/ 0, found:	408.125
Length  224/28, alignment  3/ 0, fail:	403.392
Length  224/28, alignment  3/ 3, found:	415.521
Length  224/28, alignment  3/ 3, fail:	410.511
Length  224/28, alignment  3/ 9, found:	401.287
Length  224/28, alignment  3/ 9, fail:	417.386
Length  224/28, alignment  3/15, found:	410.15
Length  224/28, alignment  3/15, fail:	398.227
Length  224/28, alignment  9/ 0, found:	416.788
Length  224/28, alignment  9/ 0, fail:	411.663
Length  224/28, alignment  9/ 3, found:	402.265
Length  224/28, alignment  9/ 3, fail:	416.36
Length  224/28, alignment  9/ 9, found:	412.489
Length  224/28, alignment  9/ 9, fail:	420.312
Length  224/28, alignment  9/15, found:	399.974
Length  224/28, alignment  9/15, fail:	400.523
Length  224/28, alignment 15/ 0, found:	419.152
Length  224/28, alignment 15/ 0, fail:	410.647
Length  224/28, alignment 15/ 3, found:	400.038
Length  224/28, alignment 15/ 3, fail:	416.735
Length  224/28, alignment 15/ 9, found:	410.993
Length  224/28, alignment 15/ 9, fail:	402.226
Length  224/28, alignment 15/15, found:	408.069
Length  224/28, alignment 15/15, fail:	409.441
Length  252/28, alignment  0/ 0, found:	428.854
Length  252/28, alignment  0/ 0, fail:	444.351
Length  252/28, alignment  0/ 3, found:	438.483
Length  252/28, alignment  0/ 3, fail:	429.603
Length  252/28, alignment  0/ 9, found:	446.451
Length  252/28, alignment  0/ 9, fail:	450.731
Length  252/28, alignment  0/15, found:	429.144
Length  252/28, alignment  0/15, fail:	454.448
Length  252/28, alignment  3/ 0, found:	429.278
Length  252/28, alignment  3/ 0, fail:	438.415
Length  252/28, alignment  3/ 3, found:	435.325
Length  252/28, alignment  3/ 3, fail:	429.585
Length  252/28, alignment  3/ 9, found:	442.538
Length  252/28, alignment  3/ 9, fail:	438.225
Length  252/28, alignment  3/15, found:	428.376
Length  252/28, alignment  3/15, fail:	444.816
Length  252/28, alignment  9/ 0, found:	438.749
Length  252/28, alignment  9/ 0, fail:	441.422
Length  252/28, alignment  9/ 3, found:	438.694
Length  252/28, alignment  9/ 3, fail:	427.746
Length  252/28, alignment  9/ 9, found:	439.918
Length  252/28, alignment  9/ 9, fail:	439.091
Length  252/28, alignment  9/15, found:	429.267
Length  252/28, alignment  9/15, fail:	446.223
Length  252/28, alignment 15/ 0, found:	436.496
Length  252/28, alignment 15/ 0, fail:	429.755
Length  252/28, alignment 15/ 3, found:	518.7
Length  252/28, alignment 15/ 3, fail:	440.361
Length  252/28, alignment 15/ 9, found:	449.357
Length  252/28, alignment 15/ 9, fail:	440.426
Length  252/28, alignment 15/15, found:	428.976
Length  252/28, alignment 15/15, fail:	438.801
Length  280/28, alignment  0/ 0, found:	466.495
Length  280/28, alignment  0/ 0, fail:	456.581
Length  280/28, alignment  0/ 3, found:	475.716
Length  280/28, alignment  0/ 3, fail:	466.748
Length  280/28, alignment  0/ 9, found:	475.519
Length  280/28, alignment  0/ 9, fail:	466.884
Length  280/28, alignment  0/15, found:	459.197
Length  280/28, alignment  0/15, fail:	475.29
Length  280/28, alignment  3/ 0, found:	467.127
Length  280/28, alignment  3/ 0, fail:	475.527
Length  280/28, alignment  3/ 3, found:	468.703
Length  280/28, alignment  3/ 3, fail:	458.397
Length  280/28, alignment  3/ 9, found:	480.317
Length  280/28, alignment  3/ 9, fail:	467.804
Length  280/28, alignment  3/15, found:	478.448
Length  280/28, alignment  3/15, fail:	467.092
Length  280/28, alignment  9/ 0, found:	456.328
Length  280/28, alignment  9/ 0, fail:	475.3
Length  280/28, alignment  9/ 3, found:	468.285
Length  280/28, alignment  9/ 3, fail:	475.256
Length  280/28, alignment  9/ 9, found:	468.029
Length  280/28, alignment  9/ 9, fail:	459.229
Length  280/28, alignment  9/15, found:	480.314
Length  280/28, alignment  9/15, fail:	466.229
Length  280/28, alignment 15/ 0, found:	457.779
Length  280/28, alignment 15/ 0, fail:	487.715
Length  280/28, alignment 15/ 3, found:	457.664
Length  280/28, alignment 15/ 3, fail:	477.202
Length  280/28, alignment 15/ 9, found:	470.282
Length  280/28, alignment 15/ 9, fail:	458.015
Length  280/28, alignment 15/15, found:	475.131
Length  280/28, alignment 15/15, fail:	468.027
Length  308/28, alignment  0/ 0, found:	501.882
Length  308/28, alignment  0/ 0, fail:	496.478
Length  308/28, alignment  0/ 3, found:	487.26
