                       	strsep
Length  144/24, alignment  3/ 3, fail:	252.969
Length  144/24, alignment  3/ 9, found:	171.745
Length  144/24, alignment  3/ 9, fail:	253.061
Length  144/24, alignment  3/15, found:	171.888
Length  144/24, alignment  3/15, fail:	252.382
Length  144/24, alignment  9/ 0, found:	171.611
Length  144/24, alignment  9/ 0, fail:	252.334
Length  144/24, alignment  9/ 3, found:	172.775
Length  144/24, alignment  9/ 3, fail:	252.661
Length  144/24, alignment  9/ 9, found:	171.92
Length  144/24, alignment  9/ 9, fail:	250.605
Length  144/24, alignment  9/15, found:	173.661
Length  144/24, alignment  9/15, fail:	250.832
Length  144/24, alignment 15/ 0, found:	172.515
Length  144/24, alignment 15/ 0, fail:	252.597
Length  144/24, alignment 15/ 3, found:	172.162
Length  144/24, alignment 15/ 3, fail:	252.827
Length  144/24, alignment 15/ 9, found:	172.467
Length  144/24, alignment 15/ 9, fail:	252.898
Length  144/24, alignment 15/15, found:	172.378
Length  144/24, alignment 15/15, fail:	250.581
Length  168/24, alignment  0/ 0, found:	187.536
Length  168/24, alignment  0/ 0, fail:	279.204
Length  168/24, alignment  0/ 3, found:	185.785
Length  168/24, alignment  0/ 3, fail:	278.768
Length  168/24, alignment  0/ 9, found:	185.801
Length  168/24, alignment  0/ 9, fail:	279.24
Length  168/24, alignment  0/15, found:	185.794
Length  168/24, alignment  0/15, fail:	278.767
Length  168/24, alignment  3/ 0, found:	185.586
Length  168/24, alignment  3/ 0, fail:	279.128
Length  168/24, alignment  3/ 3, found:	185.509
Length  168/24, alignment  3/ 3, fail:	279.485
Length  168/24, alignment  3/ 9, found:	186.239
Length  168/24, alignment  3/ 9, fail:	279.088
Length  168/24, alignment  3/15, found:	185.334
Length  168/24, alignment  3/15, fail:	279.428
Length  168/24, alignment  9/ 0, found:	185.917
Length  168/24, alignment  9/ 0, fail:	279.867
Length  168/24, alignment  9/ 3, found:	187.569
Length  168/24, alignment  9/ 3, fail:	278.589
Length  168/24, alignment  9/ 9, found:	185.813
Length  168/24, alignment  9/ 9, fail:	277.315
Length  168/24, alignment  9/15, found:	187.213
Length  168/24, alignment  9/15, fail:	279.156
Length  168/24, alignment 15/ 0, found:	185.933
Length  168/24, alignment 15/ 0, fail:	279.787
Length  168/24, alignment 15/ 3, found:	256.132
Length  168/24, alignment 15/ 3, fail:	280.53
Length  168/24, alignment 15/ 9, found:	188.469
Length  168/24, alignment 15/ 9, fail:	279.261
Length  168/24, alignment 15/15, found:	186.005
Length  168/24, alignment 15/15, fail:	277.36
Length  100/25, alignment  0/ 0, found:	150.34
Length  100/25, alignment  0/ 0, fail:	202.372
Length  100/25, alignment  0/ 3, found:	148.471
Length  100/25, alignment  0/ 3, fail:	203.185
Length  100/25, alignment  0/ 9, found:	148.809
Length  100/25, alignment  0/ 9, fail:	204.995
Length  100/25, alignment  0/15, found:	146.806
Length  100/25, alignment  0/15, fail:	204.34
Length  100/25, alignment  3/ 0, found:	148.873
Length  100/25, alignment  3/ 0, fail:	202.607
Length  100/25, alignment  3/ 3, found:	148.346
Length  100/25, alignment  3/ 3, fail:	202.502
Length  100/25, alignment  3/ 9, found:	149.236
Length  100/25, alignment  3/ 9, fail:	202.426
Length  100/25, alignment  3/15, found:	148.728
Length  100/25, alignment  3/15, fail:	203.021
Length  100/25, alignment  9/ 0, found:	148.766
Length  100/25, alignment  9/ 0, fail:	205.125
Length  100/25, alignment  9/ 3, found:	148.361
Length  100/25, alignment  9/ 3, fail:	202.741
Length  100/25, alignment  9/ 9, found:	148.823
Length  100/25, alignment  9/ 9, fail:	202.75
Length  100/25, alignment  9/15, found:	148.334
Length  100/25, alignment  9/15, fail:	202.681
Length  100/25, alignment 15/ 0, found:	148.451
Length  100/25, alignment 15/ 0, fail:	202.968
Length  100/25, alignment 15/ 3, found:	148.557
Length  100/25, alignment 15/ 3, fail:	204.719
Length  100/25, alignment 15/ 9, found:	146.552
Length  100/25, alignment 15/ 9, fail:	204.341
Length  100/25, alignment 15/15, found:	147.935
Length  100/25, alignment 15/15, fail:	202.98
Length  125/25, alignment  0/ 0, found:	167.195
Length  125/25, alignment  0/ 0, fail:	233.356
Length  125/25, alignment  0/ 3, found:	162.859
Length  125/25, alignment  0/ 3, fail:	232.947
Length  125/25, alignment  0/ 9, found:	160.41
Length  125/25, alignment  0/ 9, fail:	233.202
Length  125/25, alignment  0/15, found:	162.144
Length  125/25, alignment  0/15, fail:	232.741
Length  125/25, alignment  3/ 0, found:	163.009
Length  125/25, alignment  3/ 0, fail:	231.405
Length  125/25, alignment  3/ 3, found:	162.768
Length  125/25, alignment  3/ 3, fail:	232.517
Length  125/25, alignment  3/ 9, found:	161.708
Length  125/25, alignment  3/ 9, fail:	231.062
Length  125/25, alignment  3/15, found:	163.66
Length  125/25, alignment  3/15, fail:	231.161
Length  125/25, alignment  9/ 0, found:	162.311
Length  125/25, alignment  9/ 0, fail:	233.697
Length  125/25, alignment  9/ 3, found:	161.981
Length  125/25, alignment  9/ 3, fail:	231.254
Length  125/25, alignment  9/ 9, found:	164.194
Length  125/25, alignment  9/ 9, fail:	230.951
Length  125/25, alignment  9/15, found:	162.219
Length  125/25, alignment  9/15, fail:	233.281
Length  125/25, alignment 15/ 0, found:	162.381
Length  125/25, alignment 15/ 0, fail:	231.288
Length  125/25, alignment 15/ 3, found:	163.96
Length  125/25, alignment 15/ 3, fail:	230.739
Length  125/25, alignment 15/ 9, found:	162.46
Length  125/25, alignment 15/ 9, fail:	232.859
Length  125/25, alignment 15/15, found:	162.645
Length  125/25, alignment 15/15, fail:	231.259
Length  150/25, alignment  0/ 0, found:	180.441
Length  150/25, alignment  0/ 0, fail:	257.634
Length  150/25, alignment  0/ 3, found:	178.446
Length  150/25, alignment  0/ 3, fail:	261.099
Length  150/25, alignment  0/ 9, found:	178.74
Length  150/25, alignment  0/ 9, fail:	259.537
Length  150/25, alignment  0/15, found:	178.47
Length  150/25, alignment  0/15, fail:	259.919
Length  150/25, alignment  3/ 0, found:	178.912
Length  150/25, alignment  3/ 0, fail:	259.898
Length  150/25, alignment  3/ 3, found:	178.83
Length  150/25, alignment  3/ 3, fail:	259.835
Length  150/25, alignment  3/ 9, found:	178.889
Length  150/25, alignment  3/ 9, fail:	259.775
Length  150/25, alignment  3/15, found:	178.942
Length  150/25, alignment  3/15, fail:	259.857
Length  150/25, alignment  9/ 0, found:	178.548
Length  150/25, alignment  9/ 0, fail:	258.268
Length  150/25, alignment  9/ 3, found:	180.849
Length  150/25, alignment  9/ 3, fail:	259.798
Length  150/25, alignment  9/ 9, found:	178.543
Length  150/25, alignment  9/ 9, fail:	258.078
Length  150/25, alignment  9/15, found:	180.589
Length  150/25, alignment  9/15, fail:	258.349
Length  150/25, alignment 15/ 0, found:	179.305
Length  150/25, alignment 15/ 0, fail:	259.87
Length  150/25, alignment 15/ 3, found:	180.92
Length  150/25, alignment 15/ 3, fail:	258.413
Length  150/25, alignment 15/ 9, found:	179.499
Length  150/25, alignment 15/ 9, fail:	259.978
Length  150/25, alignment 15/15, found:	179.229
Length  150/25, alignment 15/15, fail:	259.477
Length  175/25, alignment  0/ 0, found:	192.276
Length  175/25, alignment  0/ 0, fail:	288.053
Length  175/25, alignment  0/ 3, found:	194.157
Length  175/25, alignment  0/ 3, fail:	287.874
Length  175/25, alignment  0/ 9, found:	196.025
Length  175/25, alignment  0/ 9, fail:	288.74
Length  175/25, alignment  0/15, found:	192.111
Length  175/25, alignment  0/15, fail:	287.96
Length  175/25, alignment  3/ 0, found:	191.981
Length  175/25, alignment  3/ 0, fail:	288.213
Length  175/25, alignment  3/ 3, found:	193.023
Length  175/25, alignment  3/ 3, fail:	288.102
Length  175/25, alignment  3/ 9, found:	194.903
Length  175/25, alignment  3/ 9, fail:	287.791
Length  175/25, alignment  3/15, found:	192.419
Length  175/25, alignment  3/15, fail:	287.759
Length  175/25, alignment  9/ 0, found:	191.794
Length  175/25, alignment  9/ 0, fail:	287.776
Length  175/25, alignment  9/ 3, found:	192.556
Length  175/25, alignment  9/ 3, fail:	288.268
Length  175/25, alignment  9/ 9, found:	192.935
Length  175/25, alignment  9/ 9, fail:	288.08
Length  175/25, alignment  9/15, found:	193.988
Length  175/25, alignment  9/15, fail:	288.36
Length  175/25, alignment 15/ 0, found:	195.606
Length  175/25, alignment 15/ 0, fail:	288.334
Length  175/25, alignment 15/ 3, found:	192.528
Length  175/25, alignment 15/ 3, fail:	288.367
Length  175/25, alignment 15/ 9, found:	192.604
Length  175/25, alignment 15/ 9, fail:	287.878
Length  175/25, alignment 15/15, found:	193.467
Length  175/25, alignment 15/15, fail:	288.146
Length  104/26, alignment  0/ 0, found:	152.494
Length  104/26, alignment  0/ 0, fail:	210.402
Length  104/26, alignment  0/ 3, found:	152.125
Length  104/26, alignment  0/ 3, fail:	208.527
Length  104/26, alignment  0/ 9, found:	152.099
Length  104/26, alignment  0/ 9, fail:	211.232
Length  104/26, alignment  0/15, found:	150.463
Length  104/26, alignment  0/15, fail:	210.516
Length  104/26, alignment  3/ 0, found:	151.944
Length  104/26, alignment  3/ 0, fail:	208.618
Length  104/26, alignment  3/ 3, found:	151.647
Length  104/26, alignment  3/ 3, fail:	208.969
Length  104/26, alignment  3/ 9, found:	152.244
Length  104/26, alignment  3/ 9, fail:	208.719
Length  104/26, alignment  3/15, found:	152.257
Length  104/26, alignment  3/15, fail:	211.026
Length  104/26, alignment  9/ 0, found:	152.489
Length  104/26, alignment  9/ 0, fail:	208.749
Length  104/26, alignment  9/ 3, found:	152.3
Length  104/26, alignment  9/ 3, fail:	208.771
Length  104/26, alignment  9/ 9, found:	154.609
Length  104/26, alignment  9/ 9, fail:	208.648
Length  104/26, alignment  9/15, found:	152.3
Length  104/26, alignment  9/15, fail:	209.123
Length  104/26, alignment 15/ 0, found:	152.232
Length  104/26, alignment 15/ 0, fail:	210.306
Length  104/26, alignment 15/ 3, found:	152.113
Length  104/26, alignment 15/ 3, fail:	209.105
Length  104/26, alignment 15/ 9, found:	152.386
Length  104/26, alignment 15/ 9, fail:	208.644
Length  104/26, alignment 15/15, found:	153.833
Length  104/26, alignment 15/15, fail:	208.596
Length  130/26, alignment  0/ 0, found:	166.718
Length  130/26, alignment  0/ 0, fail:	239.63
Length  130/26, alignment  0/ 3, found:	166.852
Length  130/26, alignment  0/ 3, fail:	237.483
Length  130/26, alignment  0/ 9, found:	168.687
Length  130/26, alignment  0/ 9, fail:	237.11
Length  130/26, alignment  0/15, found:	166.876
Length  130/26, alignment  0/15, fail:	239.466
Length  130/26, alignment  3/ 0, found:	166.82
Length  130/26, alignment  3/ 0, fail:	237.493
Length  130/26, alignment  3/ 3, found:	168.454
Length  130/26, alignment  3/ 3, fail:	237.299
Length  130/26, alignment  3/ 9, found:	167.162
Length  130/26, alignment  3/ 9, fail:	240.085
Length  130/26, alignment  3/15, found:	166.811
Length  130/26, alignment  3/15, fail:	237.533
Length  130/26, alignment  9/ 0, found:	168.731
Length  130/26, alignment  9/ 0, fail:	237.702
Length  130/26, alignment  9/ 3, found:	167.098
Length  130/26, alignment  9/ 3, fail:	239.464
Length  130/26, alignment  9/ 9, found:	166.872
Length  130/26, alignment  9/ 9, fail:	239.557
Length  130/26, alignment  9/15, found:	167.534
Length  130/26, alignment  9/15, fail:	239.259
Length  130/26, alignment 15/ 0, found:	165.162
Length  130/26, alignment 15/ 0, fail:	239.25
Length  130/26, alignment 15/ 3, found:	167.088
Length  130/26, alignment 15/ 3, fail:	240.046
Length  130/26, alignment 15/ 9, found:	167.998
Length  130/26, alignment 15/ 9, fail:	239.589
Length  130/26, alignment 15/15, found:	166.771
Length  130/26, alignment 15/15, fail:	238.367
Length  156/26, alignment  0/ 0, found:	183.793
Length  156/26, alignment  0/ 0, fail:	265.884
Length  156/26, alignment  0/ 3, found:	181.526
Length  156/26, alignment  0/ 3, fail:	268.893
Length  156/26, alignment  0/ 9, found:	183.334
Length  156/26, alignment  0/ 9, fail:	266.107
Length  156/26, alignment  0/15, found:	181.497
Length  156/26, alignment  0/15, fail:	268.879
Length  156/26, alignment  3/ 0, found:	183.944
Length  156/26, alignment  3/ 0, fail:	266.853
Length  156/26, alignment  3/ 3, found:	181.527
Length  156/26, alignment  3/ 3, fail:	268.754
Length  156/26, alignment  3/ 9, found:	182.875
Length  156/26, alignment  3/ 9, fail:	266.915
Length  156/26, alignment  3/15, found:	181.697
Length  156/26, alignment  3/15, fail:	268.991
Length  156/26, alignment  9/ 0, found:	182.76
Length  156/26, alignment  9/ 0, fail:	266.19
Length  156/26, alignment  9/ 3, found:	181.766
Length  156/26, alignment  9/ 3, fail:	269.497
Length  156/26, alignment  9/ 9, found:	183.729
Length  156/26, alignment  9/ 9, fail:	266.335
Length  156/26, alignment  9/15, found:	182.462
Length  156/26, alignment  9/15, fail:	269.587
Length  156/26, alignment 15/ 0, found:	183.865
Length  156/26, alignment 15/ 0, fail:	266.311
Length  156/26, alignment 15/ 3, found:	182.253
Length  156/26, alignment 15/ 3, fail:	269.871
Length  156/26, alignment 15/ 9, found:	183.455
Length  156/26, alignment 15/ 9, fail:	266.425
Length  156/26, alignment 15/15, found:	181.923
Length  156/26, alignment 15/15, fail:	269.128
Length  182/26, alignment  0/ 0, found:	201.094
Length  182/26, alignment  0/ 0, fail:	296.917
Length  182/26, alignment  0/ 3, found:	198.249
Length  182/26, alignment  0/ 3, fail:	296.668
Length  182/26, alignment  0/ 9, found:	198.817
Length  182/26, alignment  0/ 9, fail:	297.285
Length  182/26, alignment  0/15, found:	200.264
Length  182/26, alignment  0/15, fail:	296.559
Length  182/26, alignment  3/ 0, found:	198.209
Length  182/26, alignment  3/ 0, fail:	296.751
Length  182/26, alignment  3/ 3, found:	198.014
Length  182/26, alignment  3/ 3, fail:	296.771
Length  182/26, alignment  3/ 9, found:	199.238
Length  182/26, alignment  3/ 9, fail:	295.585
Length  182/26, alignment  3/15, found:	199.561
Length  182/26, alignment  3/15, fail:	296.83
Length  182/26, alignment  9/ 0, found:	197.703
Length  182/26, alignment  9/ 0, fail:	297.015
Length  182/26, alignment  9/ 3, found:	198.026
Length  182/26, alignment  9/ 3, fail:	296.852
Length  182/26, alignment  9/ 9, found:	198.421
Length  182/26, alignment  9/ 9, fail:	297.55
Length  182/26, alignment  9/15, found:	200.066
Length  182/26, alignment  9/15, fail:	296.757
Length  182/26, alignment 15/ 0, found:	197.023
Length  182/26, alignment 15/ 0, fail:	296.917
Length  182/26, alignment 15/ 3, found:	198.56
Length  182/26, alignment 15/ 3, fail:	297.199
Length  182/26, alignment 15/ 9, found:	199.34
Length  182/26, alignment 15/ 9, fail:	296.873
Length  182/26, alignment 15/15, found:	197.074
Length  182/26, alignment 15/15, fail:	297.304
Length  108/27, alignment  0/ 0, found:	155.93
Length  108/27, alignment  0/ 0, fail:	216.286
Length  108/27, alignment  0/ 3, found:	154.174
Length  108/27, alignment  0/ 3, fail:	215.994
Length  108/27, alignment  0/ 9, found:	156.51
Length  108/27, alignment  0/ 9, fail:	214.479
Length  108/27, alignment  0/15, found:	157.654
Length  108/27, alignment  0/15, fail:	214.135
Length  108/27, alignment  3/ 0, found:	156.032
Length  108/27, alignment  3/ 0, fail:	216.384
Length  108/27, alignment  3/ 3, found:	154.218
Length  108/27, alignment  3/ 3, fail:	216.733
Length  108/27, alignment  3/ 9, found:	155.575
Length  108/27, alignment  3/ 9, fail:	214.247
Length  108/27, alignment  3/15, found:	157.645
Length  108/27, alignment  3/15, fail:	214.949
Length  108/27, alignment  9/ 0, found:	156.308
Length  108/27, alignment  9/ 0, fail:	214.355
Length  108/27, alignment  9/ 3, found:	156.234
Length  108/27, alignment  9/ 3, fail:	216.536
Length  108/27, alignment  9/ 9, found:	155.813
Length  108/27, alignment  9/ 9, fail:	214.718
Length  108/27, alignment  9/15, found:	156.18
Length  108/27, alignment  9/15, fail:	215.886
Length  108/27, alignment 15/ 0, found:	156.037
Length  108/27, alignment 15/ 0, fail:	214.242
Length  108/27, alignment 15/ 3, found:	156.316
Length  108/27, alignment 15/ 3, fail:	216.897
Length  108/27, alignment 15/ 9, found:	155.746
Length  108/27, alignment 15/ 9, fail:	214.745
Length  108/27, alignment 15/15, found:	156.453
Length  108/27, alignment 15/15, fail:	216.929
Length  135/27, alignment  0/ 0, found:	173.377
Length  135/27, alignment  0/ 0, fail:	246.714
Length  135/27, alignment  0/ 3, found:	171.851
Length  135/27, alignment  0/ 3, fail:	245.11
Length  135/27, alignment  0/ 9, found:	175.409
Length  135/27, alignment  0/ 9, fail:	245.349
Length  135/27, alignment  0/15, found:	172.608
Length  135/27, alignment  0/15, fail:	246.618
Length  135/27, alignment  3/ 0, found:	172.277
Length  135/27, alignment  3/ 0, fail:	246.908
Length  135/27, alignment  3/ 3, found:	172.242
Length  135/27, alignment  3/ 3, fail:	246.444
Length  135/27, alignment  3/ 9, found:	170.743
Length  135/27, alignment  3/ 9, fail:	244.914
Length  135/27, alignment  3/15, found:	174.18
Length  135/27, alignment  3/15, fail:	244.859
Length  135/27, alignment  9/ 0, found:	172.982
Length  135/27, alignment  9/ 0, fail:	246.637
Length  135/27, alignment  9/ 3, found:	171.827
Length  135/27, alignment  9/ 3, fail:	245.122
Length  135/27, alignment  9/ 9, found:	172.952
Length  135/27, alignment  9/ 9, fail:	246.456
Length  135/27, alignment  9/15, found:	170.477
Length  135/27, alignment  9/15, fail:	246.433
Length  135/27, alignment 15/ 0, found:	172.278
Length  135/27, alignment 15/ 0, fail:	246.866
Length  135/27, alignment 15/ 3, found:	172.276
Length  135/27, alignment 15/ 3, fail:	246.553
Length  135/27, alignment 15/ 9, found:	172.085
Length  135/27, alignment 15/ 9, fail:	244.933
Length  135/27, alignment 15/15, found:	174.147
Length  135/27, alignment 15/15, fail:	245.195
Length  162/27, alignment  0/ 0, found:	186.101
Length  162/27, alignment  0/ 0, fail:	275.776
Length  162/27, alignment  0/ 3, found:	187.846
Length  162/27, alignment  0/ 3, fail:	276.929
Length  162/27, alignment  0/ 9, found:	186.096
Length  162/27, alignment  0/ 9, fail:	274.23
Length  162/27, alignment  0/15, found:	187.688
Length  162/27, alignment  0/15, fail:	275.886
Length  162/27, alignment  3/ 0, found:	187.082
Length  162/27, alignment  3/ 0, fail:	275.564
Length  162/27, alignment  3/ 3, found:	186.822
Length  162/27, alignment  3/ 3, fail:	275.79
Length  162/27, alignment  3/ 9, found:	187.005
Length  162/27, alignment  3/ 9, fail:	276.584
Length  162/27, alignment  3/15, found:	186.834
Length  162/27, alignment  3/15, fail:	275.925
Length  162/27, alignment  9/ 0, found:	187.073
Length  162/27, alignment  9/ 0, fail:	275.513
Length  162/27, alignment  9/ 3, found:	188.22
Length  162/27, alignment  9/ 3, fail:	276.205
Length  162/27, alignment  9/ 9, found:	189.292
Length  162/27, alignment  9/ 9, fail:	273.776
Length  162/27, alignment  9/15, found:	187.602
Length  162/27, alignment  9/15, fail:	276.982
Length  162/27, alignment 15/ 0, found:	188.271
Length  162/27, alignment 15/ 0, fail:	275.938
Length  162/27, alignment 15/ 3, found:	186.246
Length  162/27, alignment 15/ 3, fail:	274.364
Length  162/27, alignment 15/ 9, found:	188.509
Length  162/27, alignment 15/ 9, fail:	275.755
Length  162/27, alignment 15/15, found:	186.386
Length  162/27, alignment 15/15, fail:	276.641
Length  189/27, alignment  0/ 0, found:	203.497
Length  189/27, alignment  0/ 0, fail:	306.835
Length  189/27, alignment  0/ 3, found:	204.874
Length  189/27, alignment  0/ 3, fail:	307.074
Length  189/27, alignment  0/ 9, found:	203.565
Length  189/27, alignment  0/ 9, fail:	306.85
Length  189/27, alignment  0/15, found:	202.153
Length  189/27, alignment  0/15, fail:	306.386
Length  189/27, alignment  3/ 0, found:	204.886
Length  189/27, alignment  3/ 0, fail:	307.445
Length  189/27, alignment  3/ 3, found:	201.512
Length  189/27, alignment  3/ 3, fail:	306.637
Length  189/27, alignment  3/ 9, found:	203.74
Length  189/27, alignment  3/ 9, fail:	306.926
Length  189/27, alignment  3/15, found:	203.31
Length  189/27, alignment  3/15, fail:	306.662
Length  189/27, alignment  9/ 0, found:	200.46
Length  189/27, alignment  9/ 0, fail:	307.608
Length  189/27, alignment  9/ 3, found:	204.784
Length  189/27, alignment  9/ 3, fail:	307.84
Length  189/27, alignment  9/ 9, found:	200.865
Length  189/27, alignment  9/ 9, fail:	306.766
Length  189/27, alignment  9/15, found:	201.878
Length  189/27, alignment  9/15, fail:	306.334
Length  189/27, alignment 15/ 0, found:	200.497
Length  189/27, alignment 15/ 0, fail:	306.726
Length  189/27, alignment 15/ 3, found:	201.901
Length  189/27, alignment 15/ 3, fail:	307.166
Length  189/27, alignment 15/ 9, found:	202.356
Length  189/27, alignment 15/ 9, fail:	306.438
Length  189/27, alignment 15/15, found:	200.156
Length  189/27, alignment 15/15, fail:	306.905
Length  112/28, alignment  0/ 0, found:	158.826
Length  112/28, alignment  0/ 0, fail:	231.021
Length  112/28, alignment  0/ 3, found:	157.005
Length  112/28, alignment  0/ 3, fail:	221.993
Length  112/28, alignment  0/ 9, found:	159.115
Length  112/28, alignment  0/ 9, fail:	220.109
Length  112/28, alignment  0/15, found:	160.936
Length  112/28, alignment  0/15, fail:	219.531
Length  112/28, alignment  3/ 0, found:	159.017
Length  112/28, alignment  3/ 0, fail:	223.03
Length  112/28, alignment  3/ 3, found:	158.443
Length  112/28, alignment  3/ 3, fail:	220.28
Length  112/28, alignment  3/ 9, found:	158.641
Length  112/28, alignment  3/ 9, fail:	221.243
Length  112/28, alignment  3/15, found:	159.765
Length  112/28, alignment  3/15, fail:	220.861
Length  112/28, alignment  9/ 0, found:	158.907
Length  112/28, alignment  9/ 0, fail:	222.24
Length  112/28, alignment  9/ 3, found:	158.634
Length  112/28, alignment  9/ 3, fail:	220.619
Length  112/28, alignment  9/ 9, found:	158.793
Length  112/28, alignment  9/ 9, fail:	219.421
Length  112/28, alignment  9/15, found:	158.712
Length  112/28, alignment  9/15, fail:	221.964
Length  112/28, alignment 15/ 0, found:	156.875
Length  112/28, alignment 15/ 0, fail:	222.17
Length  112/28, alignment 15/ 3, found:	158.381
Length  112/28, alignment 15/ 3, fail:	219.912
Length  112/28, alignment 15/ 9, found:	160.363
Length  112/28, alignment 15/ 9, fail:	220.179
Length  112/28, alignment 15/15, found:	159.196
Length  112/28, alignment 15/15, fail:	222.215
Length  140/28, alignment  0/ 0, found:	174.398
Length  140/28, alignment  0/ 0, fail:	251.046
Length  140/28, alignment  0/ 3, found:	176.206
Length  140/28, alignment  0/ 3, fail:	251.576
Length  140/28, alignment  0/ 9, found:	174.901
Length  140/28, alignment  0/ 9, fail:	252.919
Length  140/28, alignment  0/15, found:	175.492
Length  140/28, alignment  0/15, fail:	252.704
Length  140/28, alignment  3/ 0, found:	175.672
Length  140/28, alignment  3/ 0, fail:	253.2
Length  140/28, alignment  3/ 3, found:	174.36
Length  140/28, alignment  3/ 3, fail:	250.645
Length  140/28, alignment  3/ 9, found:	176.12
Length  140/28, alignment  3/ 9, fail:	252.913
Length  140/28, alignment  3/15, found:	172.881
Length  140/28, alignment  3/15, fail:	250.915
Length  140/28, alignment  9/ 0, found:	176.684
Length  140/28, alignment  9/ 0, fail:	250.549
Length  140/28, alignment  9/ 3, found:	174.988
Length  140/28, alignment  9/ 3, fail:	253.521
Length  140/28, alignment  9/ 9, found:	174.568
Length  140/28, alignment  9/ 9, fail:	252.329
Length  140/28, alignment  9/15, found:	175.525
Length  140/28, alignment  9/15, fail:	253.122
Length  140/28, alignment 15/ 0, found:	175.298
Length  140/28, alignment 15/ 0, fail:	250.854
Length  140/28, alignment 15/ 3, found:	176.991
Length  140/28, alignment 15/ 3, fail:	251.041
Length  140/28, alignment 15/ 9, found:	173.514
Length  140/28, alignment 15/ 9, fail:	252.855
Length  140/28, alignment 15/15, found:	176.9
Length  140/28, alignment 15/15, fail:	251.106
Length  168/28, alignment  0/ 0, found:	190.884
Length  168/28, alignment  0/ 0, fail:	284.677
Length  168/28, alignment  0/ 3, found:	191.838
Length  168/28, alignment  0/ 3, fail:	283.58
Length  168/28, alignment  0/ 9, found:	190.155
Length  168/28, alignment  0/ 9, fail:	282.084
Length  168/28, alignment  0/15, found:	192.195
Length  168/28, alignment  0/15, fail:	283.952
Length  168/28, alignment  3/ 0, found:	190.211
Length  168/28, alignment  3/ 0, fail:	284.084
Length  168/28, alignment  3/ 3, found:	190.849
Length  168/28, alignment  3/ 3, fail:	283.993
Length  168/28, alignment  3/ 9, found:	190.062
Length  168/28, alignment  3/ 9, fail:	283.282
Length  168/28, alignment  3/15, found:	190.486
Length  168/28, alignment  3/15, fail:	284.805
Length  168/28, alignment  9/ 0, found:	192.146
Length  168/28, alignment  9/ 0, fail:	283.51
Length  168/28, alignment  9/ 3, found:	189.895
Length  168/28, alignment  9/ 3, fail:	284.3
Length  168/28, alignment  9/ 9, found:	190.18
Length  168/28, alignment  9/ 9, fail:	283.838
Length  168/28, alignment  9/15, found:	189.933
Length  168/28, alignment  9/15, fail:	283.71
Length  168/28, alignment 15/ 0, found:	190.722
Length  168/28, alignment 15/ 0, fail:	284.077
Length  168/28, alignment 15/ 3, found:	197.338
Length  168/28, alignment 15/ 3, fail:	287.158
Length  168/28, alignment 15/ 9, found:	190.405
Length  168/28, alignment 15/ 9, fail:	281.91
Length  168/28, alignment 15/15, found:	191.857
Length  168/28, alignment 15/15, fail:	283.575
Length  196/28, alignment  0/ 0, found:	206.239
Length  196/28, alignment  0/ 0, fail:	315.617
Length  196/28, alignment  0/ 3, found:	206.87
Length  196/28, alignment  0/ 3, fail:	316.532
Length  196/28, alignment  0/ 9, found:	206.334
Length  196/28, alignment  0/ 9, fail:	315.155
Length  196/28, alignment  0/15, found:	207.954
Length  196/28, alignment  0/15, fail:	314.684
Length  196/28, alignment  3/ 0, found:	205.977
Length  196/28, alignment  3/ 0, fail:	315.316
Length  196/28, alignment  3/ 3, found:	205.77
Length  196/28, alignment  3/ 3, fail:	314.668
Length  196/28, alignment  3/ 9, found:	207.699
Length  196/28, alignment  3/ 9, fail:	314.967
Length  196/28, alignment  3/15, found:	206.312
Length  196/28, alignment  3/15, fail:	314.685
Length  196/28, alignment  9/ 0, found:	205.418
Length  196/28, alignment  9/ 0, fail:	314.625
Length  196/28, alignment  9/ 3, found:	206.134
Length  196/28, alignment  9/ 3, fail:	315.49
Length  196/28, alignment  9/ 9, found:	207.58
Length  196/28, alignment  9/ 9, fail:	313.885
Length  196/28, alignment  9/15, found:	205.487
Length  196/28, alignment  9/15, fail:	314.427
Length  196/28, alignment 15/ 0, found:	208.012
Length  196/28, alignment 15/ 0, fail:	314.393
Length  196/28, alignment 15/ 3, found:	205.753
Length  196/28, alignment 15/ 3, fail:	315.453
Length  196/28, alignment 15/ 9, found:	207.481
Length  196/28, alignment 15/ 9, fail:	314.519
Length  196/28, alignment 15/15, found:	205.604
Length  196/28, alignment 15/15, fail:	315.182
Length  116/29, alignment  0/ 0, found:	162.389
Length  116/29, alignment  0/ 0, fail:	227.328
Length  116/29, alignment  0/ 3, found:	161.521
Length  116/29, alignment  0/ 3, fail:	224.829
Length  116/29, alignment  0/ 9, found:	163.948
Length  116/29, alignment  0/ 9, fail:	224.309
Length  116/29, alignment  0/15, found:	161.765
Length  116/29, alignment  0/15, fail:	226.41
Length  116/29, alignment  3/ 0, found:	159.849
Length  116/29, alignment  3/ 0, fail:	224.846
Length  116/29, alignment  3/ 3, found:	162.268
Length  116/29, alignment  3/ 3, fail:	226.499
Length  116/29, alignment  3/ 9, found:	162.163
Length  116/29, alignment  3/ 9, fail:	224.286
Length  116/29, alignment  3/15, found:	162.004
Length  116/29, alignment  3/15, fail:	226.634
Length  116/29, alignment  9/ 0, found:	161.554
Length  116/29, alignment  9/ 0, fail:	224.936
