                       	strsep
Length   16/4, alignment  9/ 9, fail:	83.7466
Length   16/4, alignment  9/15, found:	82.5618
Length   16/4, alignment  9/15, fail:	86.1951
Length   16/4, alignment 15/ 0, found:	93.0046
Length   16/4, alignment 15/ 0, fail:	85.5491
Length   16/4, alignment 15/ 3, found:	95.1978
Length   16/4, alignment 15/ 3, fail:	83.7666
Length   16/4, alignment 15/ 9, found:	95.2485
Length   16/4, alignment 15/ 9, fail:	83.7581
Length   16/4, alignment 15/15, found:	94.8982
Length   16/4, alignment 15/15, fail:	83.8008
Length   20/4, alignment  0/ 0, found:	82.6018
Length   20/4, alignment  0/ 0, fail:	90.1914
Length   20/4, alignment  0/ 3, found:	80.7639
Length   20/4, alignment  0/ 3, fail:	89.9512
Length   20/4, alignment  0/ 9, found:	80.8027
Length   20/4, alignment  0/ 9, fail:	89.8005
Length   20/4, alignment  0/15, found:	80.7839
Length   20/4, alignment  0/15, fail:	89.3528
Length   20/4, alignment  3/ 0, found:	83.3723
Length   20/4, alignment  3/ 0, fail:	87.7317
Length   20/4, alignment  3/ 3, found:	83.3364
Length   20/4, alignment  3/ 3, fail:	89.7678
Length   20/4, alignment  3/ 9, found:	80.7661
Length   20/4, alignment  3/ 9, fail:	87.5732
Length   20/4, alignment  3/15, found:	80.7913
Length   20/4, alignment  3/15, fail:	89.6716
Length   20/4, alignment  9/ 0, found:	80.7229
Length   20/4, alignment  9/ 0, fail:	89.708
Length   20/4, alignment  9/ 3, found:	82.9104
Length   20/4, alignment  9/ 3, fail:	87.7202
Length   20/4, alignment  9/ 9, found:	82.9878
Length   20/4, alignment  9/ 9, fail:	87.7275
Length   20/4, alignment  9/15, found:	82.8103
Length   20/4, alignment  9/15, fail:	87.6975
Length   20/4, alignment 15/ 0, found:	82.5532
Length   20/4, alignment 15/ 0, fail:	90.2471
Length   20/4, alignment 15/ 3, found:	80.7529
Length   20/4, alignment 15/ 3, fail:	89.8635
Length   20/4, alignment 15/ 9, found:	80.8225
Length   20/4, alignment 15/ 9, fail:	89.781
Length   20/4, alignment 15/15, found:	80.762
Length   20/4, alignment 15/15, fail:	89.5022
Length   24/4, alignment  0/ 0, found:	83.0413
Length   24/4, alignment  0/ 0, fail:	92.6729
Length   24/4, alignment  0/ 3, found:	82.2197
Length   24/4, alignment  0/ 3, fail:	95.2004
Length   24/4, alignment  0/ 9, found:	80.5095
Length   24/4, alignment  0/ 9, fail:	95.0156
Length   24/4, alignment  0/15, found:	80.5129
Length   24/4, alignment  0/15, fail:	94.5381
Length   24/4, alignment  3/ 0, found:	80.5195
Length   24/4, alignment  3/ 0, fail:	94.5149
Length   24/4, alignment  3/ 3, found:	82.6282
Length   24/4, alignment  3/ 3, fail:	92.6667
Length   24/4, alignment  3/ 9, found:	82.635
Length   24/4, alignment  3/ 9, fail:	92.5603
Length   24/4, alignment  3/15, found:	80.488
Length   24/4, alignment  3/15, fail:	92.5784
Length   24/4, alignment  9/ 0, found:	92.001
Length   24/4, alignment  9/ 0, fail:	94.4995
Length   24/4, alignment  9/ 3, found:	90.3362
Length   24/4, alignment  9/ 3, fail:	95.0591
Length   24/4, alignment  9/ 9, found:	92.5791
Length   24/4, alignment  9/ 9, fail:	92.6431
Length   24/4, alignment  9/15, found:	92.3689
Length   24/4, alignment  9/15, fail:	94.6038
Length   24/4, alignment 15/ 0, found:	80.5002
Length   24/4, alignment 15/ 0, fail:	94.4326
Length   24/4, alignment 15/ 3, found:	80.4956
Length   24/4, alignment 15/ 3, fail:	94.8618
Length   24/4, alignment 15/ 9, found:	80.4883
Length   24/4, alignment 15/ 9, fail:	94.7866
Length   24/4, alignment 15/15, found:	83.5354
Length   24/4, alignment 15/15, fail:	92.6079
Length   28/4, alignment  0/ 0, found:	86.0532
Length   28/4, alignment  0/ 0, fail:	102.411
Length   28/4, alignment  0/ 3, found:	84.1792
Length   28/4, alignment  0/ 3, fail:	103.126
Length   28/4, alignment  0/ 9, found:	86.1072
Length   28/4, alignment  0/ 9, fail:	100.908
Length   28/4, alignment  0/15, found:	85.8674
Length   28/4, alignment  0/15, fail:	102.827
Length   28/4, alignment  3/ 0, found:	84.2246
Length   28/4, alignment  3/ 0, fail:	102.65
Length   28/4, alignment  3/ 3, found:	84.1553
Length   28/4, alignment  3/ 3, fail:	102.829
Length   28/4, alignment  3/ 9, found:	84.2356
Length   28/4, alignment  3/ 9, fail:	102.995
Length   28/4, alignment  3/15, found:	86.6113
Length   28/4, alignment  3/15, fail:	101.003
Length   28/4, alignment  9/ 0, found:	90.939
Length   28/4, alignment  9/ 0, fail:	103.044
Length   28/4, alignment  9/ 3, found:	89.5664
Length   28/4, alignment  9/ 3, fail:	102.927
Length   28/4, alignment  9/ 9, found:	91.3616
Length   28/4, alignment  9/ 9, fail:	100.993
Length   28/4, alignment  9/15, found:	90.9814
Length   28/4, alignment  9/15, fail:	102.716
Length   28/4, alignment 15/ 0, found:	83.97
Length   28/4, alignment 15/ 0, fail:	103.063
Length   28/4, alignment 15/ 3, found:	86.0295
Length   28/4, alignment 15/ 3, fail:	100.895
Length   28/4, alignment 15/ 9, found:	86.3525
Length   28/4, alignment 15/ 9, fail:	103.052
Length   28/4, alignment 15/15, found:	84.011
Length   28/4, alignment 15/15, fail:	102.448
Length   20/5, alignment  0/ 0, found:	81.1494
Length   20/5, alignment  0/ 0, fail:	88.3535
Length   20/5, alignment  0/ 3, found:	81.2954
Length   20/5, alignment  0/ 3, fail:	90.1602
Length   20/5, alignment  0/ 9, found:	83.1536
